what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1382330080487
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1382330080487
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1382330080487
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1382330080487
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1382330080487
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1382330080487
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1382330080487
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1382330080487
started,bundle,org.eclipse.m2e.logback.configuration,1.3.1.20130219-1424,"org.eclipse.m2e.logback.configuration",1382330080487
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1382330080487
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1382330080487
os,sysinfo,,,"win32",1382330080507
arch,sysinfo,,,"x86",1382330080507
ws,sysinfo,,,"win32",1382330080507
locale,sysinfo,,,"ko_KR",1382330080507
processors,sysinfo,,,"2",1382330080507
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1382330080507
java.runtime.version,sysinfo,,,"1.5.0_12-b04",1382330080507
java.specification.name,sysinfo,,,"Java Platform API Specification",1382330080507
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1382330080507
java.specification.version,sysinfo,,,"1.5",1382330080507
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1382330080507
java.version,sysinfo,,,"1.5.0_12",1382330080507
java.vm.info,sysinfo,,,"mixed mode",1382330080507
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1382330080507
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1382330080507
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1382330080507
java.vm.specification.version,sysinfo,,,"1.0",1382330080507
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1382330080507
java.vm.version,sysinfo,,,"1.5.0_12-b04",1382330080507
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1382330080597
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1382330080649
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1382330080649
started,bundle,org.eclipse.jst.j2ee.core,1.2.102.v201202090300,"org.eclipse.jst.j2ee.core",1382330081419
started,bundle,org.eclipse.jem,2.0.501.v201111030500,"org.eclipse.jem",1382330081479
started,bundle,org.eclipse.datatools.enablement.ibm.db2.iseries,1.0.2.v201005211230,"org.eclipse.datatools.enablement.ibm.db2.iseries",1382330081585
started,bundle,org.eclipse.datatools.enablement.ibm.db2.luw,1.0.2.v201005211230,"org.eclipse.datatools.enablement.ibm.db2.luw",1382330081587
